Season,Team,conference,PreRank,PostRank,Change,Status
2024,Florida State,ACC,10,,-25,Very Overrated
2024,Georgia,SEC,1,6,-5,Properly Rated
2024,Illinois,Big Ten,,16,19,Underrated
2024,Indiana,Big Ten,,10,25,Very Underrated
2024,Iowa,Big Ten,25,,-10,Overrated
2024,Iowa State,Big 12,,15,20,Underrated
2024,Kansas,Big 12,22,,-13,Overrated
2024,Kansas State,Big 12,18,,-17,Overrated
2024,LSU,SEC,13,,-22,Very Overrated
2024,Memphis,American,,24,11,Underrated
2024,Miami (FL),ACC,19,18,1,Properly Rated
2024,Michigan,Big Ten,9,,-26,Very Overrated
2024,Missouri,SEC,11,22,-11,Overrated
2024,NC State,ACC,24,,-11,Overrated
2024,Notre Dame,Independent,7,2,5,Properly Rated
2024,Ohio State,Big Ten,2,1,1,Properly Rated
2024,Oklahoma,SEC,16,,-19,Overrated
2024,Oklahoma State,Big 12,17,,-18,Overrated
2024,Ole Miss,SEC,6,11,-5,Properly Rated
2024,Oregon,Big Ten,3,3,0,Properly Rated
2024,Penn State,Big Ten,8,5,3,Properly Rated
2024,SMU,ACC,,12,23,Very Underrated
2024,South Carolina,SEC,,19,16,Underrated
2024,Syracuse,ACC,,20,15,Underrated
2024,Tennessee,SEC,15,9,6,Underrated
2024,Texas,SEC,4,4,0,Properly Rated
2024,Texas A&M,SEC,20,,-15,Overrated
2024,UNLV,Mountain West,,23,12,Underrated
2024,USC,Big Ten,23,,-12,Overrated
2024,Utah,Big 12,12,,-23,Very Overrated
2025,Alabama,SEC,8,9,-1,Properly Rated
2025,Arizona State,Big 12,11,,-24,Very Overrated
2025,BYU,Big 12,,11,24,Very Underrated
2025,Boise State,Mountain West,25,,-10,Overrated
2025,Clemson,ACC,4,,-31,Very Overrated
2025,Florida,SEC,15,,-20,Overrated
2025,Georgia,SEC,5,6,-1,Properly Rated
2025,Houston,Big 12,,22,13,Underrated
2025,Illinois,Big Ten,12,,-23,Very Overrated
2025,Indiana,Big Ten,20,1,19,Underrated
2025,Iowa,Big Ten,,17,18,Underrated
2025,Iowa State,Big 12,22,,-13,Overrated
2025,James Madison,Sun Belt,,19,16,Underrated
2025,Kansas State,Big 12,17,,-18,Overrated
2025,LSU,SEC,9,,-26,Very Overrated
2025,Miami (FL),ACC,10,2,8,Underrated
2025,Michigan,Big Ten,14,21,-7,Overrated
2025,Navy,American,,23,12,Underrated
2025,North Texas,American,,24,11,Underrated
2025,Notre Dame,Independent,6,10,-4,Properly Rated
2025,Ohio State,Big Ten,3,5,-2,Properly Rated
2025,Oklahoma,SEC,18,13,5,Properly Rated
2025,Ole Miss,SEC,21,3,18,Underrated
2025,Oregon,Big Ten,7,4,3,Properly Rated
2025,Penn State,Big Ten,2,,-33,Very Overrated
2025,SMU,ACC,16,,-19,Overrated
2025,South Carolina,SEC,13,,-22,Very Overrated
2025,TCU,Big 12,,25,10,Underrated
2025,Tennessee,SEC,24,,-11,Overrated
2025,Texas,SEC,1,12,-11,Overrated
2025,Texas A&M,SEC,19,8,11,Underrated
2025,Texas Tech,Big 12,23,7,16,Underrated
2025,Tulane,American,,18,17,Underrated
2025,USC,Big Ten,,20,15,Underrated
2025,Utah,Big 12,,14,21,Very Underrated
2025,Vanderbilt,SEC,,15,20,Underrated
2025,Virginia,ACC,,16,19,Underrated
